source,current_name,module,kind,parameters
python,ability_standard_error,fast_mlsirm._cat_administration_resource_safety,function,"bank, factor_id, theta, administered=None, model='MLS2PLM'"
python,fit,fast_mlsirm._fit_public,function,"responses, factor_id, config=None, mask=None, group_id=None, cluster_id=None, anchors=None, covariate=None"
python,AssembledForm,fast_mlsirm.ata,class,"items, achieved_info, target_info, shortfall, content_counts"
python,assemble_to_target,fast_mlsirm.ata,function,"bank, factor_id, target_thetas, target_info, length, model='MLS2PLM', content=None, min_per_content=None, max_per_content=None, exclude=None, exposure_counts=None, exposure_max=None, seed=0"
python,item_information_matrix,fast_mlsirm.ata,function,"bank, factor_id, target_thetas, model='MLS2PLM'"
python,load_rust_core,fast_mlsirm.backend,function,
python,normalize_backend,fast_mlsirm.backend,function,name
python,normalize_device,fast_mlsirm.backend,function,name
python,normalize_production_backend,fast_mlsirm.backend,function,name
python,resolve_backend,fast_mlsirm.backend,function,name
python,resolve_reference_backend,fast_mlsirm.backend,function,name='numpy'
python,BifactorBootstrapResult,fast_mlsirm.bifactor_bootstrap,class,"n_requested, n_replicates, n_converged, converged, stopped_early, ci_level, n_groups, replicate_a_general, replicate_a_specific, replicate_threshold, replicate_general_mean, replicate_general_sd, replicate_specific_sd, replicate_loglik, se_a_general, se_a_specific, se_threshold, se_general_mean, se_general_sd, se_specific_sd, ci_lower_a_general, ci_upper_a_general, ci_lower_a_specific, ci_upper_a_specific, ci_lower_threshold, ci_upper_threshold, wall_clock_seconds, throughput_replicates_per_second, device='cpu'"
python,run_bifactor_bootstrap,fast_mlsirm.bifactor_bootstrap,function,"responses, specific_map, n_cat, n_specific, n_replicates, batch_size, mc_stopping_ratio, compute_budget_seconds, q_general, q_specific, group_ids=None, n_groups=1, anchor_mask=None, n_jobs=-1, base_seed=42, device='cpu', ci_level=0.95, max_iter=500, tol=1e-06, n_starts=1, estimate_specific_vars=False"
python,BifactorGrmFipcFit,fast_mlsirm.bifactor_grm,class,"a_general, a_specific, threshold, general_mean, general_sd, specific_sd, theta_g_eap, theta_g_sd, category_counts, n_cat, n_specific, loglik_trace, n_iter, converged, termination_reason, final_loglik_change, n_parameters"
python,BifactorGrmFit,fast_mlsirm.bifactor_grm,class,"a_general, a_specific, threshold, theta_g_eap, theta_g_sd, category_counts, n_cat, n_specific, loglik_trace, n_iter, converged, termination_reason, final_loglik_change, best_start, n_parameters"
python,fit_bifactor_grm,fast_mlsirm.bifactor_grm,function,"responses, specific_map, n_cat, n_specific, q_general, q_specific, max_iter=500, tol=1e-06, n_starts=1, seed=11400714819323198485, device='cpu'"
